Sample,ID,Recall,Precision,Hmean
1,X00016469670,1,1,1
2,X00016469671,1,1,1
3,X51005200931,1,1,1
4,X51005230605,0.75,1,0.857142857
5,X51005230616,1,1,1
6,X51005230621,0.75,1,0.857142857
7,X51005230648,1,1,1
8,X51005230657,1,1,1
9,X51005230659,1,1,1
10,X51005268275,1,1,1
11,X51005268408,1,1,1
12,X51005288570,0.75,1,0.857142857
13,X51005301666,1,1,1
14,X51005337867,0.75,1,0.857142857
15,X51005337877,1,1,1
16,X51005361906,1,1,1
17,X51005361908,1,1,1
18,X51005361912,1,1,1
19,X51005361923,1,1,1
20,X51005365187,0.75,0.75,0.75
21,X51005433518,1,1,1
22,X51005433543,1,1,1
23,X51005433548,1,1,1
24,X51005433556,1,1,1
25,X51005442322,0.75,0.75,0.75
26,X51005442334,0.75,1,0.857142857
27,X51005442343,1,1,1
28,X51005442366,1,1,1
29,X51005442375,1,1,1
30,X51005442382,1,1,1
31,X51005442388,0.75,1,0.857142857
32,X51005444040,1,1,1
33,X51005444041,1,1,1
34,X51005444044,1,1,1
35,X51005444046,1,1,1
36,X51005447841,1,1,1
37,X51005447842,1,1,1
38,X51005447844,0.5,0.5,0.5
39,X51005447851,1,1,1
40,X51005447859,1,1,1
41,X51005568855,1,1,1
42,X51005568866,1,1,1
43,X51005568885,1,1,1
44,X51005568887,1,1,1
45,X51005568889,1,1,1
46,X51005568890,1,1,1
47,X51005568892,1,1,1
48,X51005568894,1,1,1
49,X51005568895,1,1,1
50,X51005577191,1,1,1
51,X51005582745,1,1,1
52,X51005587261,1,1,1
53,X51005605287,1,1,1
54,X51005605295,0.75,1,0.857142857
55,X51005605332,1,1,1
56,X51005621482,1,1,1
57,X51005663274,1,1,1
58,X51005663300,1,1,1
59,X51005663307,1,1,1
60,X51005663309,1,1,1
61,X51005663310,1,1,1
62,X51005663323,1,1,1
63,X51005675099,1,1,1
64,X51005675103,1,1,1
65,X51005675104,1,1,1
66,X51005675914,1,1,1
67,X51005676534,1,1,1
68,X51005676535,1,1,1
69,X51005676537,1,1,1
70,X51005676542,1,1,1
71,X51005676548,1,1,1
72,X51005677327,1,1,1
73,X51005677333,1,1,1
74,X51005677336,1,1,1
75,X51005677337,1,1,1
76,X510056849111,0.75,0.75,0.75
77,X51005684949,0.75,0.75,0.75
78,X51005705727,1,1,1
79,X51005705729,1,1,1
80,X51005705784,1,1,1
